Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
2/3/21	666,349	5,882	16	3,034	2,806	203	9	25				
2/4/21	669,756	3,407	41	3,075	2,821	229	9	25				
2/5/21	677,726	7,970	28	3,103	2,839	239	7	25				
2/6/21	684,643	6,917	25	3,128	2,879	223	5	26				
2/7/21	689,721	5,078	37	3,165	2,922	217	4	26				
2/8/21	693,290	3,569	27	3,192	2,948	218	4	26				
2/9/21	697,613	4,323	9	3,201	2,963	212	6	26				
2/10/21	705,462	7,849	15	3,216	2,978	211	5	27				
2/11/21	711,820	6,358	28	3,244	2,988	229	3	27				
2/12/21	716,887	5,067	12	3,256	3,007	222	1	27				
2/13/21	723,640	6,753	23	3,279	3,034	218	2	27				
2/14/21	728,747	5,107	12	3,291	3,057	207	2	27				
2/15/21	731,759	3,012	9	3,300	3,088	185	3	27				
2/16/21	735,866	4,107	7	3,307	3,122	158	6	27				
2/17/21	743,436	7,570	5	3,312	3,144	141	6	27				
2/18/21	749,497	6,061	5	3,317	3,161	129	4	27				
2/19/21	755,465	5,968	19	3,336	3,172	137	3	27				
2/20/21	763,021	7,556	15	3,351	3,188	136	2	27				
2/21/21	767,659	4,638	11	3,362	3,196	139	2	27				
2/22/21	770,561	2,902	7	3,369	3,205	137	3	27				
2/23/21	773,474	2,913	11	3,380	3,221	132	3	27				
2/24/21	780,273	6,799	9	3,389	3,239	123	2	27				
2/25/21	786,935	6,662	14	3,403	3,264	112	3	27				
2/26/21	791,923	4,988	12	3,415	3,269	119	3	27				
2/27/21	799,450	7,527	7	3,422	3,289	106	4	27				
2/28/21	804,624	5,174	10	3,432	3,310	95	3	27				
3/1/21	807,887	3,263	5	3,437	3,319	91	3	27				
3/2/21	812,768	4,881	3	3,440	3,337	76	3	27				
3/3/21	819,958	7,190	12	3,452	3,344	81	2	27				
3/4/21	826,844	6,886	16	3,468	3,349	92	2	27				
3/5/21	832,894	6,050	11	3,479	3,359	93	0	27				
3/6/21	841,019	8,125	10	3,489	3,368	93	0	28				
3/7/21	845,217	4,198	14	3,503	3,384	91	0	28				
3/8/21	847,227	2,010	8	3,511	3,393	90	0	28				
3/9/21	852,585	5,358	10	3,521	3,404	88	1	29				
3/10/21	859,869	7,284	15	3,536	3,409	98	0	29				
3/11/21	865,468	5,599	25	3,561	3,423	109	1	29				
3/12/21	871,119	5,651	15	3,576	3,431	116	1	29				
3/13/21	877,831	6,712	12	3,588	3,439	120	0	29				
3/14/21	883,742	5,911	15	3,603	3,446	127	1	30				
3/15/21	886,571	2,829	7	3,610	3,459	121	1	30				
3/16/21	892,277	5,706	14	3,624	3,467	127	1	30				
3/17/21	899,603	7,326	21	3,645	3,476	139	0	30				
3/18/21	906,516	6,913	28	3,673	3,483	160	0	30				
3/19/21	914,190	7,674	24	3,697	3,499	168	0	30				
3/20/21	922,775	8,585	23	3,720	3,528	162	0	30				
3/21/21	928,094	5,319	12	3,732	3,546	156	0	30				
3/22/21	931,645	3,551	7	3,739	3,559	150	1	30				
3/23/21	938,080	6,435	5	3,744	3,569	145	1	30				
3/24/21	945,851	7,771	17	3,761	3,579	152	1	30				
3/25/21	953,470	7,619	24	3,785	3,591	164	3	30				
3/26/21	959,804	6,334	33	3,818	3,602	186	2	30				
3/27/21	967,869	8,065	23	3,841	3,631	180	2	30				
3/28/21	972,880	5,011	29	3,870	3,647	193	2	30				
3/29/21	976,273	3,393	14	3,884	3,665	189	0	30				
3/30/21	981,758	5,485	13	3,897	3,688	179	1	30				
3/31/21	990,167	8,409	17	3,914	3,700	184	2	30	40,566	19,738		
4/1/21	996,374	6,207	19	3,933	3,713	190	3	30	40,566	19,738		
4/2/21	1,002,284	5,910	18	3,951	3,720	201	3	30	41,169	22,123		
4/3/21	1,009,909	7,625	8	3,959	3,747	182	3	30	42,047	23,561		
4/4/21	1,013,709	3,800	11	3,970	3,780	160	5	30	43,816	23,965		
4/5/21	1,016,647	2,938	4	3,974	3,807	137	4	30	44,376	24,348		
4/6/21	1,021,240	4,593	6	3,980	3,837	113	3	30	44,739	24,633		
4/7/21	1,028,232	6,992	6	3,986	3,857	99	4	30	46,405	25,145		
4/8/21	1,034,194	5,962	8	3,994	3,868	96	6	30	46,892	25,967		
4/9/21	1,040,365	6,171	9	4,003	3,880	93	5	30	47,725	27,294		
4/10/21	1,047,555	7,190	10	4,013	3,896	87	4	30	49,788	28,093		
4/11/21	1,051,919	4,364	9	4,022	3,902	90	4	30	51,797	28,909		
4/12/21	1,055,792	3,873	5	4,027	3,912	85	6	30	52,389	29,690		
4/13/21	1,061,207	5,415	5	4,032	3,922	80	6	30	53,080	30,417		
4/14/21	1,069,549	8,342	13	4,045	3,930	85	6	30	53,570	32,202		
4/15/21	1,074,628	5,079	14	4,059	3,938	91	3	30	54,051	33,823		
4/16/21	1,080,533	5,905	7	4,066	3,950	86	4	30	54,299	34,974		
4/17/21	1,087,505	6,972	12	4,078	3,964	84	3	30	55,665	35,398		
4/18/21	1,092,097	4,592	6	4,084	3,973	81	5	30	57,372	35,832		
4/19/21	1,095,416	3,319	4	4,088	3,980	78	4	30	57,692	36,265		
4/20/21	1,098,886	3,470	2	4,090	3,995	65	4	30	57,906	36,688		
4/21/21	1,107,244	8,358	11	4,101	4,008	63	5	30	58,098	37,169		
4/22/21	1,112,185	4,941	11	4,112	4,024	58	5	30	58,273	37,629		
4/23/21	1,118,836	6,651	10	4,122	4,027	65	6	30	58,273	37,629		
4/24/21	1,125,826	6,990	18	4,140	4,038	72	7	30	58,819	39,842		
4/25/21	1,129,226	3,400	2	4,142	4,051	61	5	30	59,056	40,476		
4/26/21	1,131,479	2,253	0	4,142	4,056	56	6	30	60,125	40,845		
4/27/21	1,137,298	5,819	4	4,146	4,063	53	6	30	60,233	41,231		
4/28/21	1,143,346	6,048	7	4,153	4,067	55	5	31	60,351	41,655		
4/29/21	1,148,278	4,932	11	4,164	4,075	58	8	31	60,581	42,755		
4/30/21	1,153,636	5,358	6	4,170	4,077	62	8	31	61,266	45,018		
5/1/21	1,159,467	5,831	8	4,178	4,084	63	8	31	61,785	45,837		
5/2/21	1,163,081	3,614	8	4,186	4,096	59	8	31	61,932	46,224		
5/3/21	1,165,625	2,544	4	4,190	4,112	47	7	31	61,987	46,501		
5/4/21	1,170,299	4,674	2	4,192	4,117	44	7	31	62,034	46,796		
5/5/21	1,176,187	5,888	15	4,207	4,123	53	4	31	62,256	47,617		
5/6/21	1,180,483	4,296	7	4,214	4,129	54	3	31	62,451	49,635		
5/7/21	1,185,754	5,271	6	4,220	4,140	49	3	31	62,786	50,529		
5/8/21	1,190,971	5,217	6	4,226	4,145	50	2	31	62,906	50,912		
5/9/21	1,193,426	2,455	8	4,234	4,152	51	2	31	63,078	51,380		
5/10/21	1,195,633	2,207	1	4,235	4,156	48	2	31	63,267	51,775		
5/11/21	1,200,949	5,316	3	4,238	4,161	46	3	31	63,338	52,052		
5/12/21	1,201,847	898	3	4,241	4,167	43	2	31	63,415	52,334		
5/13/21	1,208,023	6,176	8	4,249	4,174	44	2	31	63,440	53,164		
5/14/21	1,212,497	4,474	10	4,259	4,182	46	4	31	63,627	54,119		
5/15/21	1,216,322	3,825	16	4,275	4,190	54	2	31	63,972	56,290		
5/16/21	1,219,905	3,583	7	4,282	4,197	54	2	31	64,206	56,416		
5/17/21	1,222,843	2,938	6	4,288	4,205	52	2	31	64,320	56,521		
5/18/21	1,227,043	4,200	2	4,290	4,212	47	2	31	64,370	56,583		
5/19/21	1,231,067	4,024	16	4,306	4,225	50	2	31	64,620	56,798		
5/20/21	1,234,738	3,671	8	4,314	4,230	53	2	31	64,881	57,862		
5/21/21	1,238,095	3,357	5	4,319	4,235	53	2	31	65,353	58,047		
5/22/21	1,240,905	2,810	6	4,325	4,241	53	3	31	65,622	58,148		
5/23/21	1,243,914	3,009	9	4,334	4,252	51	2	31	65,755	58,238		
5/24/21	1,245,676	1,762	1	4,335	4,259	45	2	31	66,506	58,374		
5/25/21	1,248,212	2,536	0	4,335	4,262	42	2	31	66,575	58,432		
5/26/21	1,250,640	2,428	4	4,339	4,269	39	3	31	66,678	58,569		
5/27/21	1,253,344	2,704	6	4,345	4,273	41	3	31	66,848	59,080		
5/28/21	1,255,502	2,158	1	4,346	4,281	34	3	31	66,984	59,538		
5/29/21	1,258,830	3,328	4	4,350	4,287	32	4	31	67,146	59,642		
5/30/21	1,259,345	515	7	4,357	4,293	33	4	31	66,848	59,740		
6/1/21	1,260,148	803	3	4,360	4,298	31	4	31	67,436	60,008		
6/2/21	1,261,377	1,229	3	4,363	4,307	25	4	31	67,499	60,159		
6/3/21	1,262,765	1,388	8	4,371	4,310	30	1	31	67,593	60,286		
6/4/21	1,263,734	969	3	4,374	4,312	31	1	31	67,715	60,555		
6/5/21	1,264,605	871	2	4,376	4,317	28	0	31	67,864	60,733		
6/6/21	1,264,797	192	2	4,378	4,324	23	2	31	67,981	60,959		
6/7/21	1,264,950	153	3	4,381	4,329	21	2	31	68,045	61,110		
6/8/21	1,265,820	870	0	4,381	4,329	21	2	31	68,096	61,266		
6/9/21	1,266,724	904	3	4,384	4,334	19	3	31	68,155	61,514		
6/10/21	1,267,414	690	0	4,384	4,336	17	3	31	68,263	61,727		
6/11/21	1,268,064	650	0	4,384	4,341	12	2	31	68,411	62,111		
6/12/21	1,268,761	697	3	4,387	4,342	14	2	31	68,502	62,408		
6/13/21	1,268,987	226	0	4,387	4,342	14	2	31	68,655	62,961		
6/14/21	1,269,075	88	0	4,387	4,346	10	2	31	68,691	63,603		
6/15/21	1,269,602	527	0	4,387	4,348	8	2	31	68,725	63,688		
6/16/21	1,270,408	806	0	4,387	4,349	7	2	31	68,835	63,968		
6/17/21	1,271,274	866	3	4,390	4,349	10	3	31	68,924	64,136		
6/18/21	1,271,890	616	1	4,391	4,352	8	3	31	69,000	64,296		
6/19/21	1,272,348	458	0	4,391	4,352	8	2	31	69,115	64,445		
6/20/21	1,272,486	138	0	4,391	4,355	5	1	31	69,186	64,572		
6/21/21	1,272,570	84	2	4,393	4,355	7	2	31	69,252	64,644		
6/22/21	1,272,925	355	1	4,394	4,356	7	2	31	69,286	64,699		
6/23/21	1,273,512	587	2	4,396	4,357	8	3	31	69,328	64,748		
6/24/21	1,274,069	557	3	4,399	4,358	10	2	31	69,414	64,841		
6/25/21	1,274,511	442	1	4,400	4,359	10	2	31	69,493	64,960		
6/26/21	1,275,002	491	0	4,400	4,361	8	2	31	69,555	65,144		
